ID,Time[s],1:UART: RX/TX
673,3.9182,00
674,3.91903,Stop bit
675,3.91913,Start bit
676,3.91924,FF
677,3.92007,Stop bit
678,3.92017,Start bit
679,3.92028,A5
680,3.92111,Stop bit
681,3.92121,Start bit
682,3.92132,00
683,3.92215,Stop bit
684,3.92226,Start bit
685,3.92236,60
686,3.92319,Stop bit
687,3.9233,Start bit
688,3.9234,10
689,3.92423,Stop bit
690,3.92434,Start bit
691,3.92444,07
692,3.92527,Stop bit
693,3.92538,Start bit
694,3.92548,00
695,3.92631,Stop bit
696,3.92642,Start bit
697,3.92652,01
698,3.92735,Stop bit
699,3.92746,Start bit
700,3.92756,1C
701,3.92839,Stop bit
702,3.9285,Start bit
703,3.9286,FF
704,3.92943,Stop bit
705,3.94819,Start bit
706,3.94829,FF
707,3.94913,Stop bit
708,3.94923,Start bit
709,3.94933,00
710,3.95016,Stop bit
711,3.95027,Start bit
712,3.95037,FF
713,3.9512,Stop bit
714,3.95131,Start bit
715,3.95141,A5
716,3.95224,Stop bit
717,3.95235,Start bit
718,3.95245,00
719,3.95328,Stop bit
720,3.95339,Start bit
721,3.95349,10
722,3.95432,Stop bit
723,3.95443,Start bit
724,3.95453,60
725,3.95536,Stop bit
726,3.95547,Start bit
727,3.95557,07
728,3.9564,Stop bit
729,3.95651,Start bit
730,3.95661,0F
731,3.95744,Stop bit
732,3.95755,Start bit
733,3.95765,0A
734,3.95848,Stop bit
735,3.95859,Start bit
736,3.95869,00
737,3.95952,Stop bit
738,3.95963,Start bit
739,3.95973,00
740,3.96056,Stop bit
741,3.96067,Start bit
742,3.96077,00
743,3.9616,Stop bit
744,3.96171,Start bit
745,3.96181,BF
746,3.96264,Stop bit
747,3.96275,Start bit
748,3.96285,07
749,3.96368,Stop bit
750,3.96379,Start bit
751,3.96389,08
752,3.96472,Stop bit
753,3.96483,Start bit
754,3.96493,00
755,3.96576,Stop bit
756,3.96587,Start bit
757,3.96597,00
758,3.9668,Stop bit
759,3.96691,Start bit
760,3.96701,00
761,3.96784,Stop bit
762,3.96795,Start bit
763,3.96805,00
764,3.96888,Stop bit
765,3.96899,Start bit
766,3.96909,00
767,3.96992,Stop bit
768,3.97003,Start bit
769,3.97013,0B
770,3.97096,Stop bit
771,3.97107,Start bit
772,3.97117,0F
773,3.972,Stop bit
774,3.97211,Start bit
775,3.97221,19
776,3.97304,Stop bit
777,3.97315,Start bit
778,3.97325,02
779,3.97408,Stop bit
780,3.97419,Start bit
781,3.97429,36
782,3.97512,Stop bit
783,5.10527,Start bit
784,5.10537,FF
785,5.1062,Stop bit
786,5.1063,Start bit
787,5.10641,FF
788,5.10724,Stop bit
789,5.10734,Start bit
790,5.10745,FF
791,5.10828,Stop bit
792,5.10839,Start bit
793,5.10849,FF
794,5.10932,Stop bit
795,5.10943,Start bit
796,5.10953,FF
797,5.11036,Stop bit
798,5.11047,Start bit
799,5.11057,FF
800,5.1114,Stop bit
801,5.11151,Start bit
802,5.11161,FF
803,5.11244,Stop bit
804,5.11255,Start bit
805,5.11265,FF
806,5.11348,Stop bit
807,5.11359,Start bit
808,5.11369,00
809,5.11452,Stop bit
810,5.11463,Start bit
811,5.11473,FF
812,5.11556,Stop bit
813,5.11567,Start bit
814,5.11577,A5
815,5.1166,Stop bit
816,5.11671,Start bit
817,5.11681,01
818,5.11764,Stop bit
819,5.11775,Start bit
820,5.11785,0F
821,5.11868,Stop bit
822,5.11879,Start bit
823,5.11889,10
824,5.11972,Stop bit
825,5.11983,Start bit
826,5.11993,02
827,5.12076,Stop bit
828,5.12087,Start bit
829,5.12097,1D
830,5.12181,Stop bit
831,5.12191,Start bit
832,5.12201,0F
833,5.12284,Stop bit
834,5.12295,Start bit
835,5.12305,19
836,5.12388,Stop bit
837,5.12399,Start bit
838,5.12409,20
839,5.12493,Stop bit
840,5.12503,Start bit
841,5.12513,00
842,5.12597,Stop bit
843,5.12607,Start bit
844,5.12617,00
845,5.12701,Stop bit
846,5.12711,Start bit
847,5.12721,00
848,5.12805,Stop bit
849,5.12815,Start bit
850,5.12825,00
851,5.12909,Stop bit
852,5.12919,Start bit
853,5.12929,00
854,5.13013,Stop bit
855,5.13023,Start bit
856,5.13033,00
857,5.13117,Stop bit
858,5.13127,Start bit
859,5.13137,00
860,5.13221,Stop bit
861,5.13231,Start bit
862,5.13241,00
863,5.13325,Stop bit
864,5.13335,Start bit
865,5.13345,00
866,5.13429,Stop bit
867,5.13439,Start bit
868,5.13449,00
869,5.13533,Stop bit
870,5.13543,Start bit
871,5.13553,01
872,5.13637,Stop bit
873,5.13647,Start bit
874,5.13657,42
875,5.13741,Stop bit
876,5.13751,Start bit
877,5.13761,42
878,5.13845,Stop bit
879,5.13855,Start bit
880,5.13865,02
881,5.13949,Stop bit
882,5.13959,Start bit
883,5.13969,50
884,5.14053,Stop bit
885,5.14063,Start bit
886,5.14074,47
887,5.14157,Stop bit
888,5.14167,Start bit
889,5.14178,FF
890,5.14261,Stop bit
891,5.14271,Start bit
892,5.14282,02
893,5.14365,Stop bit
894,5.14375,Start bit
895,5.14386,28
896,5.14469,Stop bit
897,5.14479,Start bit
898,5.1449,04
899,5.14573,Stop bit
900,5.14583,Start bit
901,5.14594,00
902,5.14677,Stop bit
903,5.14687,Start bit
904,5.14698,00
905,5.14781,Stop bit
906,5.14791,Start bit
907,5.14802,00
908,5.14885,Stop bit
909,5.14895,Start bit
910,5.14906,00
911,5.14989,Stop bit
912,5.14999,Start bit
913,5.1501,29
914,5.15093,Stop bit
915,5.15103,Start bit
916,5.15114,0B
917,5.15197,Stop bit
918,5.15207,Start bit
919,5.15218,03
920,5.15301,Stop bit
921,5.15311,Start bit
922,5.15322,AB
923,5.15405,Stop bit
924,5.15415,Start bit
925,5.15426,FF
926,5.15509,Stop bit
927,5.60476,Start bit
928,5.60487,FF
929,5.6057,Stop bit
930,5.60581,Start bit
931,5.60591,00
932,5.60674,Stop bit
933,5.60684,Start bit
934,5.60695,FF
935,5.60778,Stop bit
936,5.60788,Start bit
937,5.60799,A5
938,5.60882,Stop bit
939,5.60893,Start bit
940,5.60903,00
941,5.60986,Stop bit
942,5.60997,Start bit
943,5.61007,90
944,5.6109,Stop bit
945,5.61101,Start bit
946,5.61111,10
947,5.61194,Stop bit
948,5.61205,Start bit
949,5.61215,D2
950,5.61298,Stop bit
951,5.61309,Start bit
952,5.61319,01
953,5.61402,Stop bit
954,5.61413,Start bit
955,5.61423,D2
956,5.61506,Stop bit
957,5.61517,Start bit
958,5.61527,02
959,5.6161,Stop bit
960,5.61621,Start bit
961,5.61631,EA
962,5.61714,Stop bit
963,5.61725,Start bit
964,5.61735,FF
965,5.61818,Stop bit
966,7.12906,Start bit
967,7.12916,FF
968,7.13,Stop bit
969,7.1301,Start bit
970,7.1302,FF
971,7.13104,Stop bit
972,7.13114,Start bit
973,7.13124,FF
974,7.13208,Stop bit
975,7.13218,Start bit
976,7.13229,FF
977,7.13312,Stop bit
978,7.13322,Start bit
979,7.13333,FF
980,7.13416,Stop bit
981,7.13426,Start bit
982,7.13437,FF
983,7.1352,Stop bit
984,7.1353,Start bit
985,7.13541,FF
986,7.13624,Stop bit
987,7.13634,Start bit
988,7.13645,FF
989,7.13728,Stop bit
990,7.13738,Start bit
991,7.13749,00
992,7.13832,Stop bit
993,7.13842,Start bit
994,7.13853,FF
995,7.13936,Stop bit
996,7.13946,Start bit
997,7.13957,A5
998,7.1404,Stop bit
999,7.1405,Start bit
1000,7.14061,01
1001,7.14144,Stop bit
1002,7.14154,Start bit
1003,7.14165,0F
1004,7.14248,Stop bit
1005,7.14258,Start bit
1006,7.14269,10
1007,7.14352,Stop bit
1008,7.14362,Start bit
1009,7.14373,02
1010,7.14456,Stop bit
1011,7.14466,Start bit
1012,7.14477,1D
1013,7.1456,Stop bit
1014,7.1457,Start bit
1015,7.14581,0F
1016,7.14664,Stop bit
1017,7.14674,Start bit
1018,7.14685,19
1019,7.14768,Stop bit
1020,7.14778,Start bit
1021,7.14789,20
1022,7.14872,Stop bit
1023,7.14882,Start bit
1024,7.14893,00
1025,7.14976,Stop bit
1026,7.14986,Start bit
1027,7.14997,00
1028,7.1508,Stop bit
1029,7.1509,Start bit
1030,7.15101,00
1031,7.15184,Stop bit
1032,7.15194,Start bit
1033,7.15205,00
1034,7.15288,Stop bit
1035,7.15298,Start bit
1036,7.15309,00
1037,7.15392,Stop bit
1038,7.15403,Start bit
1039,7.15413,00
1040,7.15496,Stop bit
1041,7.15507,Start bit
1042,7.15517,00
1043,7.156,Stop bit
1044,7.15611,Start bit
1045,7.15621,00
1046,7.15704,Stop bit
1047,7.15715,Start bit
1048,7.15725,00
1049,7.15808,Stop bit
1050,7.15819,Start bit
1051,7.15829,00
1052,7.15912,Stop bit
1053,7.15923,Start bit
1054,7.15933,01
1055,7.16016,Stop bit
1056,7.16027,Start bit
1057,7.16037,42
1058,7.1612,Stop bit
1059,7.16131,Start bit
1060,7.16141,42
1061,7.16224,Stop bit
1062,7.16235,Start bit
1063,7.16245,02
1064,7.16328,Stop bit
1065,7.16339,Start bit
1066,7.16349,50
1067,7.16432,Stop bit
1068,7.16443,Start bit
1069,7.16453,48
1070,7.16536,Stop bit
1071,7.16547,Start bit
1072,7.16557,FF
1073,7.1664,Stop bit
1074,7.16651,Start bit
1075,7.16661,02
1076,7.16744,Stop bit
1077,7.16755,Start bit
1078,7.16765,28
1079,7.16848,Stop bit
1080,7.16859,Start bit
1081,7.16869,04
1082,7.16952,Stop bit
1083,7.16963,Start bit
1084,7.16973,00
1085,7.17056,Stop bit
1086,7.17067,Start bit
1087,7.17077,00
1088,7.17161,Stop bit
1089,7.17171,Start bit
1090,7.17181,00
1091,7.17265,Stop bit
1092,7.17275,Start bit
1093,7.17285,00
1094,7.17369,Stop bit
1095,7.17379,Start bit
1096,7.17389,29
1097,7.17473,Stop bit
1098,7.17483,Start bit
1099,7.17493,0B
1100,7.17577,Stop bit
1101,7.17587,Start bit
1102,7.17597,03
1103,7.17681,Stop bit
1104,7.17691,Start bit
1105,7.17701,AC
1106,7.17785,Stop bit
1107,7.17795,Start bit
1108,7.17805,FF
1109,7.17889,Stop bit
1110,7.62825,Start bit
1111,7.62835,FF
1112,7.62919,Stop bit
1113,7.62929,Start bit
1114,7.62939,00
1115,7.63023,Stop bit
1116,7.63033,Start bit
1117,7.63043,FF
1118,7.63127,Stop bit
1119,7.63137,Start bit
1120,7.63147,A5
1121,7.63231,Stop bit
1122,7.63241,Start bit
1123,7.63251,00
1124,7.63335,Stop bit
1125,7.63345,Start bit
1126,7.63355,90
1127,7.63439,Stop bit
1128,7.63449,Start bit
1129,7.63459,10
1130,7.63543,Stop bit
1131,7.63553,Start bit
1132,7.63563,D2
1133,7.63647,Stop bit
1134,7.63657,Start bit
1135,7.63667,01
1136,7.63751,Stop bit
1137,7.63761,Start bit
1138,7.63771,D2
1139,7.63855,Stop bit
1140,7.63865,Start bit
1141,7.63875,02
1142,7.63959,Stop bit
1143,7.63969,Start bit
1144,7.63979,EA
1145,7.64063,Stop bit
1146,7.64073,Start bit
1147,7.64084,FF
1148,7.64167,Stop bit
1149,9.14037,Start bit
1150,9.14048,FF
1151,9.14131,Stop bit
1152,9.14142,Start bit
1153,9.14152,FF
1154,9.14235,Stop bit
1155,9.14245,Start bit
1156,9.14256,FF
1157,9.14339,Stop bit
1158,9.14349,Start bit
1159,9.1436,FF
1160,9.14443,Stop bit
1161,9.14453,Start bit
1162,9.14464,FF
1163,9.14547,Stop bit
1164,9.14558,Start bit
1165,9.14568,FF
1166,9.14651,Stop bit
1167,9.14662,Start bit
1168,9.14672,FF
1169,9.14755,Stop bit
1170,9.14766,Start bit
1171,9.14776,FF
1172,9.14859,Stop bit
1173,9.1487,Start bit
1174,9.1488,00
1175,9.14963,Stop bit
1176,9.14974,Start bit
1177,9.14984,FF
1178,9.15067,Stop bit
1179,9.15078,Start bit
1180,9.15088,A5
1181,9.15171,Stop bit
1182,9.15182,Start bit
1183,9.15192,01
1184,9.15275,Stop bit
1185,9.15286,Start bit
1186,9.15296,0F
1187,9.15379,Stop bit
1188,9.1539,Start bit
1189,9.154,10
1190,9.15483,Stop bit
1191,9.15494,Start bit
1192,9.15504,02
1193,9.15587,Stop bit
1194,9.15598,Start bit
1195,9.15608,1D
1196,9.15691,Stop bit
1197,9.15702,Start bit
1198,9.15712,0F
1199,9.15795,Stop bit
1200,9.15806,Start bit
1201,9.15816,19
1202,9.15899,Stop bit
1203,9.1591,Start bit
1204,9.1592,20
1205,9.16003,Stop bit
1206,9.16014,Start bit
1207,9.16024,00
1208,9.16108,Stop bit
1209,9.16118,Start bit
1210,9.16128,00
1211,9.16212,Stop bit
1212,9.16222,Start bit
1213,9.16232,00
1214,9.16316,Stop bit
1215,9.16326,Start bit
1216,9.16336,00
1217,9.1642,Stop bit
1218,9.1643,Start bit
1219,9.1644,00
1220,9.16524,Stop bit
1221,9.16534,Start bit
1222,9.16544,00
1223,9.16628,Stop bit
1224,9.16638,Start bit
1225,9.16648,00
1226,9.16732,Stop bit
1227,9.16742,Start bit
1228,9.16752,00
1229,9.16836,Stop bit
1230,9.16846,Start bit
1231,9.16856,00
1232,9.1694,Stop bit
1233,9.1695,Start bit
1234,9.1696,00
1235,9.17044,Stop bit
1236,9.17054,Start bit
1237,9.17064,01
1238,9.17148,Stop bit
1239,9.17158,Start bit
1240,9.17168,42
1241,9.17252,Stop bit
1242,9.17262,Start bit
1243,9.17272,42
1244,9.17356,Stop bit
1245,9.17366,Start bit
1246,9.17376,02
1247,9.1746,Stop bit
1248,9.1747,Start bit
1249,9.1748,50
1250,9.17564,Stop bit
1251,9.17574,Start bit
1252,9.17584,48
1253,9.17668,Stop bit
1254,9.17678,Start bit
1255,9.17689,FF
1256,9.17772,Stop bit
1257,9.17782,Start bit
1258,9.17793,02
1259,9.17876,Stop bit
1260,9.17886,Start bit
1261,9.17897,28
1262,9.1798,Stop bit
1263,9.1799,Start bit
1264,9.18001,04
1265,9.18084,Stop bit
1266,9.18094,Start bit
1267,9.18105,00
1268,9.18188,Stop bit
1269,9.18198,Start bit
1270,9.18209,00
1271,9.18292,Stop bit
1272,9.18302,Start bit
1273,9.18313,00
1274,9.18396,Stop bit
1275,9.18406,Start bit
1276,9.18417,00
1277,9.185,Stop bit
1278,9.1851,Start bit
1279,9.18521,29
1280,9.18604,Stop bit
1281,9.18614,Start bit
1282,9.18625,0B
1283,9.18708,Stop bit
1284,9.18718,Start bit
1285,9.18729,03
1286,9.18812,Stop bit
1287,9.18822,Start bit
1288,9.18833,AC
1289,9.18916,Stop bit
1290,9.18926,Start bit
1291,9.18937,FF
1292,9.1902,Stop bit
1293,9.6482,Start bit
1294,9.6483,FF
1295,9.64913,Stop bit
1296,9.64924,Start bit
1297,9.64934,00
1298,9.65017,Stop bit
1299,9.65028,Start bit
1300,9.65038,FF
1301,9.65121,Stop bit
1302,9.65132,Start bit
1303,9.65142,A5
1304,9.65225,Stop bit
1305,9.65236,Start bit
1306,9.65246,00
1307,9.65329,Stop bit
1308,9.6534,Start bit
1309,9.6535,90
1310,9.65433,Stop bit
1311,9.65444,Start bit
1312,9.65454,10
1313,9.65537,Stop bit
1314,9.65548,Start bit
1315,9.65558,D2
1316,9.65641,Stop bit
1317,9.65652,Start bit
1318,9.65662,01
1319,9.65745,Stop bit
1320,9.65756,Start bit
1321,9.65766,D2
1322,9.6585,Stop bit
1323,9.6586,Start bit
1324,9.6587,02
1325,9.65953,Stop bit
1326,9.65964,Start bit
1327,9.65974,EA
1328,9.66057,Stop bit
1329,9.66068,Start bit
1330,9.66078,FF
1331,9.66162,Stop bit
